4579,1058000,65,23776
9994,1058001,23,26490
7204,1058001,55,23743
9529,1058001,4,42890
1459,1058001,43,10649
3153,1058001,2,28677
7595,1058001,19,3109
1438,1058001,54,24493
2107,1058001,74,17812
1670,1058001,75,31854
5331,1058001,2,46304
9472,1058002,91,2636
10307,1058002,39,48954
5524,1058002,24,6506
7725,1058002,61,26021
5854,1058002,81,15858
3639,1058002,91,29540
1875,1058002,71,47135
877,1058002,7,9921
1756,1058002,28,28311
4829,1058002,87,42766
6387,1058003,48,41176
4638,1058003,57,23242
10394,1058003,45,45382
2052,1058003,43,43511
6026,1058003,71,47842
260,1058003,1,11886
1059,1058003,23,36814
5884,1058003,91,46921
1426,1058003,1,26165
5093,1058003,64,5279
9147,1058004,79,22048
10828,1058004,96,2855
105,1058004,30,2537
11460,1058004,7,27745
9657,1058004,82,43234
11470,1058004,57,43063
9694,1058004,49,34507
4075,1058004,35,39521
11830,1058004,83,31974
8092,1058004,34,8210
5225,1058005,83,45362
11758,1058005,61,5230
2076,1058005,30,18674
9339,1058005,56,25325
2341,1058005,82,25492
7944,1058005,21,34317
3830,1058005,54,17940
11155,1058005,7,5709
88,1058005,2,8284
3079,1058005,43,27156
722,1058006,21,3631
11400,1058006,78,49549
10372,1058006,63,44550
11441,1058006,22,30536
4415,1058006,86,38422
2357,1058006,68,22239
4898,1058006,28,20416
4644,1058006,62,7036
5637,1058006,31,38338
348,1058006,75,10624
1539,1058007,94,43868
7652,1058007,15,10230
5802,1058007,43,19432
2536,1058007,97,22391
7061,1058007,65,35096
5522,1058007,89,28120
8617,1058007,20,5272
9140,1058007,32,37585
11343,1058007,71,14024
508,1058007,62,28090
1780,1058008,16,37341
2847,1058008,10,25096
9962,1058008,21,19417
5320,1058008,9,44340
208,1058008,0,12820
10405,1058008,56,16342
1968,1058008,16,8037
4863,1058008,68,24228
10062,1058008,62,3365
6963,1058008,40,23655
4340,1058009,69,45431
5413,1058009,72,14606
10282,1058009,24,3316
10699,1058009,95,18456
8368,1058009,35,27398
7403,1058009,26,46187
1577,1058009,90,22094
10466,1058009,16,8767
3861,1058009,22,46415
3757,1058009,28,42382
160,1058010,65,34298
11511,1058010,62,6714
10744,1058010,82,25562
10723,1058010,12,43193
9475,1058010,100,959
2249,1058010,48,28180
5247,1058010,54,1798
4762,1058010,17,10284
470,1058010,26,738
7542,1058010,91,38034
5816,1058011,52,30783
7633,1058011,16,27283
1572,1058011,55,19029
8303,1058011,9,19649
6790,1058011,88,49935
6119,1058011,52,37026
6739,1058011,34,20148
3741,1058011,47,14412
6168,1058011,3,1906
3649,1058011,8,23060
9389,1058012,70,35716
125,1058012,85,16324
8823,1058012,65,32834
2310,1058012,85,40211
2354,1058012,82,18587
5881,1058012,64,29099
3005,1058012,92,8542
7494,1058012,100,32996
3819,1058012,31,39862
10316,1058012,93,7913
3574,1058013,50,11503
6751,1058013,54,23615
2470,1058013,25,17630
689,1058013,8,14080
2682,1058013,100,29625
6207,1058013,78,40209
10354,1058013,86,38006
9015,1058013,33,6857
7192,1058013,5,10958
7031,1058013,64,47504
10844,1058014,66,35637
8287,1058014,46,20770
4782,1058014,97,23556
11149,1058014,2,29153
581,1058014,12,31036
9639,1058014,15,15500
17,1058014,64,18896
9860,1058014,42,37374
7501,1058014,26,18045
9766,1058014,3,38410
6673,1058015,39,42007
9137,1058015,9,48452
831,1058015,79,26075
350,1058015,22,28377
1183,1058015,38,19737
893,1058015,11,14714
1050,1058015,72,1779
5210,1058015,5,19304
3459,1058015,35,49896
9038,1058015,86,1502
4022,1058016,90,19121
2768,1058016,99,45384
10186,1058016,70,30907
11140,1058016,57,14728
9894,1058016,36,8391
5379,1058016,99,8525
10867,1058016,67,32291
9531,1058016,19,48979
11101,1058016,7,33926
5530,1058016,12,39638
5561,1058017,12,41006
7296,1058017,45,40710
10915,1058017,96,42969
7363,1058017,43,43230
3781,1058017,37,20727
1730,1058017,64,16983
9027,1058017,26,33760
8697,1058017,12,28909
10332,1058017,87,29072
11798,1058017,3,33540
6625,1058018,49,49895
4260,1058018,28,17365
3547,1058018,19,11329
4446,1058018,69,38088
4861,1058018,48,2191
9999,1058018,75,30307
6850,1058018,55,40055
9370,1058018,33,6365
1199,1058018,72,23577
10628,1058018,61,6521
7645,1058019,58,31958
1365,1058019,5,30360
11974,1058019,33,8589
10435,1058019,88,3597
1222,1058019,58,46700
10992,1058019,29,21237
7300,1058019,96,32121
10722,1058019,75,13415
1151,1058019,24,37048
5307,1058019,97,28975
1205,1058020,3,46641
7125,1058020,84,48365
18,1058020,7,8116
383,1058020,56,26990
11885,1058020,4,2165
10314,1058020,97,18612
6192,1058020,87,42913
10077,1058020,85,34556
893,1058020,8,19313
10410,1058020,94,7326
1289,1058021,37,44063
1572,1058021,66,3906
1627,1058021,16,36128
11189,1058021,82,27427
9356,1058021,16,38399
3233,1058021,41,18365
4193,1058021,66,32608
3735,1058021,33,3854
5716,1058021,14,47686
2191,1058021,29,23211
4706,1058022,60,17119
4476,1058022,38,17083
1506,1058022,44,43802
1783,1058022,4,8355
9492,1058022,5,16769
7040,1058022,80,7729
8130,1058022,29,20664
7937,1058022,25,6297
2789,1058022,20,24490
3748,1058022,35,43316
6147,1058023,76,31858
2295,1058023,56,19525
2059,1058023,11,36711
8842,1058023,51,44835
1106,1058023,75,31869
4915,1058023,65,3151
3262,1058023,2,293
6388,1058023,97,29352
5071,1058023,9,46917
8883,1058023,72,6719
8135,1058024,20,12495
3095,1058024,74,9870
10209,1058024,14,28143
6932,1058024,54,35486
11209,1058024,65,8986
4093,1058024,23,44086
18,1058024,90,2695
3215,1058024,85,6810
4392,1058024,91,31026
11226,1058024,34,40932
3379,1058025,4,29082
11881,1058025,71,40223
9363,1058025,20,27126
1016,1058025,96,12837
4084,1058025,85,23489
